date_start,time_start,date_end,time_end,area,location,spp_name_la,common_name_en,spp_name_lt,total_length,std_length,fork_length,fish_weight,gonad_stage,age,sex_lt,sex_en,fat_weight,exclude_from_weight_est,gut_fullness,n_fish,catch_weight,catch_weight_min,catch_weight_max,catch_length_min,catch_length_max,tool_type,total_gear_length,total_gear_length_broad,mesh_size,mesh_size_broad,soak_time,soak_time_broad,depth,method
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,51.5,41,NA,1730,IV,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,46,37.8,NA,1290,IV,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,39.2,31.2,NA,720,V,NA,patinas,male,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,41.5,34.2,NA,1034,IV,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,40.2,31.5,NA,745,IV,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,46,37,NA,1158,IV,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,43,34.5,NA,918,IV,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,57.5,42.5,NA,1361,VI,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,48,39.2,NA,1345,V,NA,patinas,male,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,36.5,29.2,NA,550,V,NA,patinas,male,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,42.1,33,NA,785,V,NA,patinas,male,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,41,32.3,NA,724,V,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,51.5,42,NA,1675,VI,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,39,31.2,NA,670,V,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,37.2,29.8,NA,544,V,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,39.5,31.2,NA,648,V,NA,patinas,male,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,38.2,30,NA,639,V,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,36,28.2,NA,519,V,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,37,29,NA,614,IV,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,42,33.5,NA,912,IV,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,40,31.5,NA,770,V,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,39.5,31,NA,675,V,NA,patinas,male,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,39.5,31.5,NA,700,V,NA,patinas,male,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,39.2,31.5,NA,707,V,NA,patinas,male,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,40.2,30.5,NA,758,V,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,38.5,32,NA,709,V,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,40,34.5,NA,729,V,NA,patinas,male,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,43.2,32,NA,1113,V,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,39.5,34.5,NA,850,V,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,43.5,33,NA,1117,V,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
2007-05-14,NA,2007-05-15,NA,Kursiu marios,"Vente, laboratorija, 24 b.",Abramis brama,Bream,Karsis,39,33.5,NA,639,V,NA,patele,female,NA,NA,NA,1,NA,NA,NA,NA,NA,Tinklas,60,short,70,big,NA,short,NA,1
